model,shape,horizon,state_mse,input_mse
unicycle,circle,9,0.000472,0.058023
unicycle,circle,10,0.000657,0.076528
unicycle,circle,11,0.000492,0.079635
unicycle,circle,12,0.000117,0.028104
unicycle,circle,13,0.000608,0.088382
unicycle,circle,14,0.000464,0.096538
unicycle,circle,15,0.000331,0.112015
unicycle,circle,16,0.000522,0.112587
unicycle,circle,17,0.000032,0.009694
unicycle,circle,18,0.000641,0.129796
unicycle,circle,19,0.000181,0.045442
unicycle,circle,20,0.000018,0.015249
unicycle,circle,2,0.000438,0.003686
unicycle,circle,3,0.000032,0.015752
unicycle,circle,4,0.001607,0.041488
unicycle,circle,5,0.001161,0.055772
unicycle,circle,6,0.000876,0.061895
unicycle,circle,7,0.001224,0.081053
unicycle,circle,8,0.000713,0.056841
unicycle,circle,9,0.000768,0.081538
unicycle,circle,10,0.000906,0.096439
unicycle,circle,11,0.000302,0.044551
unicycle,circle,12,0.000518,0.076184
unicycle,circle,13,0.001058,0.158873
unicycle,circle,14,0.000655,0.118366
unicycle,circle,15,0.000016,0.025140
unicycle,circle,16,0.000478,0.101130
unicycle,circle,17,0.000378,0.074598
unicycle,circle,18,0.000286,0.052078
unicycle,circle,19,0.000151,0.027532
unicycle,circle,20,0.000033,0.006430
unicycle,circle,2,0.000779,0.002658
unicycle,circle,3,0.001247,0.015566
unicycle,circle,4,0.000694,0.012606
unicycle,circle,5,0.001111,0.054917
unicycle,circle,6,0.000113,0.013580
unicycle,circle,7,0.000551,0.032463
unicycle,circle,8,0.000716,0.059590
unicycle,circle,9,0.000035,0.013764
unicycle,circle,10,0.000204,0.043076
unicycle,circle,11,0.000743,0.088375
unicycle,circle,12,0.001009,0.147244
unicycle,circle,13,0.000835,0.118174
unicycle,circle,14,0.000098,0.019489
unicycle,circle,15,0.000343,0.108914
unicycle,circle,16,0.000105,0.022177
unicycle,circle,17,0.000206,0.049839
unicycle,circle,18,0.000509,0.114595
unicycle,circle,19,0.000102,0.020391
unicycle,circle,20,0.000288,0.059552

helicopter,circle,2,0.423276,0.003117
helicopter,circle,3,0.404280,0.006483
helicopter,circle,4,0.002812,0.007908
helicopter,circle,5,0.000899,0.008291
helicopter,circle,6,0.000369,0.007651
helicopter,circle,7,0.000405,0.008005
helicopter,circle,8,0.393586,0.007633
helicopter,circle,9,0.000497,0.007481
helicopter,circle,10,0.000607,0.008046
helicopter,circle,11,0.000555,0.007865
helicopter,circle,12,0.000333,0.008156
helicopter,circle,13,0.000583,0.008279
helicopter,circle,14,0.000418,0.008009
helicopter,circle,15,0.000739,0.008623
helicopter,circle,16,0.000242,0.007844
helicopter,circle,17,0.000339,0.008437
helicopter,circle,18,0.000278,0.007645
helicopter,circle,19,0.000695,0.008018
helicopter,circle,20,0.000677,0.008528
helicopter,circle,2,0.431241,0.002995
helicopter,circle,3,0.404090,0.006373
helicopter,circle,4,0.002264,0.007808
helicopter,circle,5,0.000663,0.008099
helicopter,circle,6,0.393588,0.008100
helicopter,circle,7,0.393454,0.007401
helicopter,circle,8,0.000545,0.007370
helicopter,circle,9,0.000676,0.007691
helicopter,circle,10,0.000475,0.007678
helicopter,circle,11,0.000859,0.008186
helicopter,circle,12,0.000525,0.008441
helicopter,circle,13,0.000289,0.007773
helicopter,circle,14,0.000445,0.008306
helicopter,circle,15,0.000542,0.007673
helicopter,circle,16,0.000619,0.008234
helicopter,circle,17,0.000327,0.007693
helicopter,circle,18,0.000626,0.008096
helicopter,circle,19,0.000453,0.007788
helicopter,circle,20,0.000476,0.007684
helicopter,circle,2,0.431233,0.003064
helicopter,circle,3,0.404943,0.006298
helicopter,circle,4,0.394557,0.008326
helicopter,circle,5,0.000939,0.008110
helicopter,circle,6,0.000686,0.007744
helicopter,circle,7,0.393561,0.007893
helicopter,circle,8,0.000396,0.007266
helicopter,circle,9,0.001235,0.008867
helicopter,circle,10,0.000641,0.007716
helicopter,circle,11,0.000750,0.007865
helicopter,circle,12,0.000708,0.008019
helicopter,circle,13,0.000507,0.007794
helicopter,circle,14,0.000331,0.007976
helicopter,circle,15,0.000782,0.008285
helicopter,circle,16,0.000346,0.007951
helicopter,circle,17,0.000420,0.008050
helicopter,circle,18,0.000694,0.008485
helicopter,circle,19,0.000752,0.008177
helicopter,circle,20,0.000856,0.008342
helicopter,circle,2,0.426781,0.003058
helicopter,circle,3,0.405438,0.006658
helicopter,circle,4,0.395290,0.008121
helicopter,circle,5,0.393647,0.008098
helicopter,circle,6,0.393548,0.007866
helicopter,circle,7,0.393721,0.007628
helicopter,circle,8,0.000645,0.007653
helicopter,circle,9,0.000293,0.007338
helicopter,circle,10,0.000826,0.007644
helicopter,circle,11,0.000806,0.008218
helicopter,circle,12,0.000637,0.008370
helicopter,circle,13,0.000747,0.008236
helicopter,circle,14,0.000474,0.007793
helicopter,circle,15,0.000233,0.007570
helicopter,circle,16,0.000767,0.008690
helicopter,circle,17,0.000563,0.007943
helicopter,circle,18,0.000732,0.008789
helicopter,circle,19,0.000947,0.008412
helicopter,circle,20,0.000703,0.007852
helicopter,circle,2,0.435433,0.003012
helicopter,circle,3,0.405088,0.006433
helicopter,circle,4,0.394924,0.008284
helicopter,circle,5,0.393537,0.008260
helicopter,circle,6,0.393476,0.007649
helicopter,circle,7,0.393420,0.007686
helicopter,circle,8,0.000558,0.007689
helicopter,circle,9,0.000555,0.007452
helicopter,circle,10,0.000766,0.007634
helicopter,circle,11,0.000853,0.008113
